Abhish;title$ffworkbench$framework$defaultMainframeTitle;Workbench FORCAM FORCE™
1;lbl$ffworkbench$columnHeaderDescription;Abhishek
1;lbl$ffworkbench$columnHeaderHelp;Hilfe
1;lbl$ffworkbench$columnHeaderShortDescription;Kurzbeschreibung
1;lbl$ffworkbench$columnHeaderIdentifier;Bezeichner
1;lbl$ffworkbench$columnHeaderValue;Wert
1;lbl$ffworkbench$columnHeaderName;Name
1;lbl$ffworkbench$columnHeaderCostCenter;Kostenstelle
1;lbl$ffworkbench$columnHeaderClient;Mandant
1;lbl$ffworkbench$columnHeaderCompanyCode;Buchungskreis
1;lbl$ffworkbench$columnHeaderPlant;Werk
1;lbl$ffworkbench$columnHeaderErpKey;ERP Schlüssel
1;lbl$ffworkbench$columnHeaderPersonnelArea;Personal Bereich
1;lbl$ffworkbench$columnHeaderMalfunctionDetectFactor;Faktor Störerkennung
1;lbl$ffworkbench$columnHeaderWorkplaces;Arbeitsplätze
1;lbl$ffworkbench$columnHeaderPersonalNumber;Personalnummer
1;lbl$ffworkbench$columnHeaderPersonalIdentityCardNumber;Ausweisnummer
1;lbl$ffworkbench$columnHeaderLastName;Nachname
1;lbl$ffworkbench$columnHeaderFirstName;Vorname
1;lbl$ffworkbench$columnHeaderColor;Farbe
1;lbl$ffworkbench$columnHeaderAbbreviation;Kürzel
1;lbl$ffworkbench$columnHeaderCode;Code
1;lbl$ffworkbench$columnHeaderQuantityType;Qualitätsmerkmal
1;lbl$ffworkbench$columnHeaderShiftDayOffset;Schichttag Versatz [hh:mm:ss]
1;lbl$ffworkbench$columnHeaderAutoSignOffTimeout;Timeout für automatische Abmeldung [hh:mm:ss]
1;lbl$ffworkbench$columnHeaderErpCycleTime;ERP Zykluszeit [hh:mm:ss]
1;lbl$ffworkbench$columnHeaderErpSendScrapQuantity;Ausschuss melden an ERP
1;lbl$ffworkbench$columnHeaderPhase;Phase
1;lbl$ffworkbench$columnHeaderStatus;Status
1;lbl$ffworkbench$columnHeaderMalfunctionReasons;Statusgründe
1;lbl$ffworkbench$columnHeaderCurePeriod;Karenzzeit [hh:mm:ss]
1;lbl$ffworkbench$columnHeaderCurePeriodFactor;Karenzzeitfaktor
1;lbl$ffworkbench$columnHeaderWorkplace;Arbeitsplatz
1;lbl$ffworkbench$columnHeaderMaterial;Material
1;lbl$ffworkbench$columnHeaderLastEntry;Letzter Eintrag
1;lbl$ffworkbench$columnHeaderActualTimePerUnit;Ist-Stückzeit (Decimal Min.)
1;lbl$ffworkbench$columnHeaderTargetTimePerUnit;Soll-Stückzeit
1;lbl$ffworkbench$columnHeaderWorkplacePieceTime;Arbeitplatzzeit
1;lbl$ffworkbench$columnHeaderWorkplaceMinStrokeFactor;Min. Hubfaktor
1;lbl$ffworkbench$columnHeaderWorkplaceMaxStrokeFactor;Max. Hubfaktor
1;lbl$ffworkbench$columnHeaderLevel;Ebene
1;lbl$ffworkbench$columnHeaderSortOrder;Sortierfolge
1;lbl$ffworkbench$columnHeaderBookingType;Buchungstyp
1;lbl$ffworkbench$columnHeaderWidth;Breite
1;lbl$ffworkbench$columnHeaderAlignment;Ausrichtung
1;lbl$ffworkbench$columnHeaderSAPCode;SAP Code
1;lbl$ffworkbench$bookingType1;Buchungstyp 1
1;lbl$ffworkbench$bookingType2;Buchungstyp 2
1;lbl$ffworkbench$columnHeaderForeman;Vorarbeiter
1;lbl$ffworkbench$columnHeaderQuantityReason;Qualitätsdetail
1;lbl$ffworkbench$columnHeaderDefaultQuantityReason;Standard Qualitätsdetail
1;lbl$ffworkbench$columnHeaderScrapCode;Ausschusscode
1;lbl$ffworkbench$columnHeaderDefault;Standard
1;lbl$ffworkbench$columnHeaderAssignedWorkplaces;Zugewiesene Arbeitsplätze
1;lbl$ffworkbench$suffixForMultipleSelectedWorkplaces; Arbeitsplätze
1;msg$ffworkbench$saveChangesSuccessfully;Änderungen wurden gespeichert.
1;msg$ffworkbench$saveChangesFailed;Fehler beim Speichern der Änderungen
1;err$ffworkbench$readingDataFailed;Fehler beim Einlesen der Daten.
1;err$ffworkbench$insertingFailed;Fehler beim Einfügen.
1;err$ffworkbench$initializeFailure;Fehler bei der Initialisierung.
1;err$ffworkbench$invalidXML;XML entspricht nicht dem Schema. &1
1;msg$ffworkbench$changesCanceled;Änderungen wurden verworfen.
1;btn$ffworkbench$assume;Übernehmen
1;btn$ffworkbench$save;Speichern
1;btn$ffworkbench$cancel;Abbrechen
1;tt$ffworkbench$delete;Löschen
1;tt$ffworkbench$close;Schliessen
1;tt$ffworkbench$assumeChange;Änderung übernehmen
1;tt$ffworkbench$cancelChange;Änderung verwerfen
1;tt$ffworkbench$exportAsCsv;Im CSV Format exportieren
1;tt$ffworkbench$exportAsXls;Im XLS Format exportieren
1;tt$ffworkbench$exportAsPdf;Im PDF Format exportieren
1;tt$ffworkbench$import;Importieren
1;tt$ffworkbench$export;Exportieren
1;err$ffworkbench$exportNoDataAvailable;Es sind keine Daten für den Export vorhanden.
1;btn$ffworkbench$ok;Ok
1;btn$ffworkbench$yes;Ja
1;btn$ffworkbench$no;Nein
1;lbl$ffworkbench$every;Alle
1;lbl$ffworkbench$selected;Ausgewählt
1;lbl$ffworkbench$available;Verfügbar
1;title$ffworkbench$saveChanges;Änderungen speichern
1;qtn$ffworkbench$saveChanges;Sollen die Änderungen gespeichert werden?
1;qtn$ffworkbench$reloadAndLooseChanges;Möchten Sie die Daten neu einlesen und die Änderungen damit verwerfen?
1;title$ffworkbench$reloadAndLooseChanges;Daten neu einlesen, Änderungen verwerfen
1;tt$ffworkbench$reload;Daten neu einlesen
1;lbl$ffworkbench$clearText;Klartext
1;title$ffworkbench$workplaceChoosing;Arbeitsplatzauswahl
1;title$ffworkbench$malfunctionReasonChoosing;Statusgrundauswahl
1;title$ffworkbench$quantityReasonChoosing;Qualitätsdetailauswahl
1;title$ffworkbench$personChoosing;Personalauswahl
1;title$ffworkbench$superUserWorkplaceChoosing;Vorarbeiter Arbeitsplatzauswahl
1;title$ffworkbench$foremanChoosing;Vorarbeiterauswahl
1;lbl$ffworkbench$columnHeaderAssignedSuperUserWorkplaces;Vorarbeiter Arbeitsplätze
1;msg$ffworkbench$importedDataSuccessfully;Daten erfolgreich importiert &1
1;msg$ffworkbench$exportedDataSuccessfully;Daten erfolgreich exportiert &1
1;err$ffworkbench$importingDataFailed;Fehler beim Importieren der Daten &1
1;err$ffworkbench$exportingDataFailed;Fehler beim Exportieren der Daten.
1;lbl$ffworkbench$machineStatus;Maschinen Status
1;lbl$ffworkbench$workplacePhase;Arbeitsplatz Phasen
1;lbl$ffworkbench$workplaceStatus;Arbeitsplatz Status
1;lbl$ffworkbench$operationPhase;AVO Phasen
1;lbl$ffworkbench$operationStatus;AVO Status
1;lbl$ffworkbench$personStatus;Personal Phase
1;lbl$ffworkbench$operationTimebases;AVO Zeitbasen
1;lbl$ffworkbench$workplaceTimebases;Arbeitsplatz Zeitbasen
1;lbl$ffworkbench$person;Personal
1;title$ffworkbench$textEditor;Texteditor
